Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1750126626,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1750126627,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0.0,0,0,0.0
1750126628,3,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0.0,0,0,0.0
1750126629,3,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0.0,0,0,0.0
1750126630,5,,Aggregated,3.000000,2.000000,0,0,0,0,56,87,87,87,87,87,87,15,9,0,9.516032536824545,0,86.78078651428223,35.333333333333336
1750126631,5,,Aggregated,3.000000,2.000000,0,0,0,13,87,87,87,87,87,87,87,19,10,0,12.738014522351717,0,86.78078651428223,54.68421052631579
1750126632,7,,Aggregated,3.500000,2.000000,0,0,0,17,56,87,87,87,87,87,87,25,13,0,11.464433670043945,0,86.78078651428223,62.44
1750126633,7,,Aggregated,3.500000,2.000000,0,0,13,17,56,87,87,87,87,87,87,30,14,0,10.922733942667643,0,86.78078651428223,77.7
1750126634,9,,Aggregated,3.833333,2.000000,0,0,13,17,27,87,87,87,87,87,87,35,17,0,9.884044102260045,0,86.78078651428223,74.02857142857142
1750126635,9,,Aggregated,4.285714,2.000000,0,0,17,18,28,87,87,87,87,87,87,40,18,0,10.415863990783691,0,86.78078651428223,84.325
1750126636,11,,Aggregated,4.250000,2.000000,0,0,13,18,27,56,87,87,87,87,87,45,21,0,9.799798329671225,0,86.78078651428223,80.73333333333333
1750126637,12,,Aggregated,4.222222,2.000000,0,0,17,18,27,56,87,87,87,87,87,50,23,0,9.578943252563477,0,86.78078651428223,83.3
1750126638,13,,Aggregated,4.400000,2.000000,0,13,17,20,28,56,87,87,87,87,87,59,25,0,10.488942518072614,0,86.78078651428223,97.22033898305085
1750126639,14,,Aggregated,4.500000,2.000000,0,13,18,22,28,33,87,87,87,87,87,65,27,0,10.738097704373873,0,86.78078651428223,100.26153846153846
1750126640,14,,Aggregated,5.100000,2.000000,0,14,18,22,28,33,87,87,87,87,87,69,28,0,10.763527690500453,0,86.78078651428223,101.92753623188406
1750126641,15,,Aggregated,5.400000,2.000000,0,17,21,24,33,87,210,240,240,240,240,79,30,0,16.956769967380957,0,236.07730865478516,112.07594936708861
1750126642,16,,Aggregated,5.400000,2.000000,0,18,24,28,75,87,240,260,260,260,260,89,32,0,24.25021000122756,0,256.4399242401123,119.9438202247191
1750126643,17,,Aggregated,5.800000,2.000000,0,20,26,32,81,210,260,280,280,280,280,96,34,0,27.11416284243266,0,277.86993980407715,121.98958333333333
1750126644,18,,Aggregated,6.000000,1.900000,0,20,27,33,84,220,280,290,320,320,320,103,36,0,32.206607096403545,0,320.5981254577637,123.84466019417475
1750126645,19,,Aggregated,6.400000,2.000000,0,22,32,48,95,220,280,290,320,320,320,112,38,0,34.28930044174194,0,320.5981254577637,127.65178571428571
1750126646,21,,Aggregated,6.700000,2.000000,0,24,33,52,110,210,280,290,320,320,320,121,41,0,36.54365500142752,0,320.5981254577637,128.9504132231405
1750126647,21,,Aggregated,7.200000,2.000000,13,26,48,78,150,210,280,290,320,320,320,130,42,13,41.3569138600276,0,320.5981254577637,134.01538461538462
1750126648,22,,Aggregated,7.600000,2.000000,14,27,56,87,180,260,320,360,430,430,430,138,43,13,48.921557440274,0,430.0706386566162,137.52173913043478
1750126649,23,,Aggregated,7.700000,1.900000,17,29,50,81,170,260,320,360,430,430,430,155,46,17,47.78743713132797,0,430.0706386566162,144.18064516129033
1750126650,24,,Aggregated,7.700000,1.900000,17,27,47,75,150,240,320,360,430,430,430,164,48,16,45.93810802552758,0,430.0706386566162,145.79268292682926
