Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,publish:1:sensor/zone-20250616210231-640/equip-20250616210231-640/UA10H-REAL-24390524/pressure,40,0,14,14.25355076789856,12.089252471923828,17.195701599121094,261.75,0.0015873337784122162,0.0,14,15,15,15,17,17,17,17,17,17,17
MQTT,publish:1:sensor/zone-20250616210231-640/equip-20250616210231-640/UA10H-REAL-24390524/reactive_power,42,1,14,21.33972304207938,0,222.63288497924805,265.07142857142856,0.001666700467332827,3.9683344460305405e-05,15,15,15,16,16,65,220,220,220,220,220
MQTT,publish:1:sensor/zone-20250616210231-640/equip-20250616210231-640/UA10H-REAL-24390524/temp,42,0,15,18.042484919230144,12.257099151611328,51.95331573486328,259.14285714285717,0.001666700467332827,0.0,15,16,16,16,18,50,52,52,52,52,52
MQTT,publish:1:sensor/zone-20250616210231-640/equip-20250616210231-640/UA10H-REAL-24390524/vibration,39,0,14,20.87710453913762,10.185003280639648,118.02935600280762,261.94871794871796,0.0015476504339519109,0.0,14,16,16,18,42,76,120,120,120,120,120
MQTT,publish:1:sensor/zone-20250616210232-355/equip-20250616210232-355/UA10H-REAL-24200233/active_power,32,0,14,31.168445944786072,11.187553405761719,197.10779190063477,269.4375,0.001269867022729773,0.0,14,16,17,18,48,180,200,200,200,200,200
MQTT,publish:1:sensor/zone-20250616210232-355/equip-20250616210232-355/UA10H-REAL-24200233/humidity,38,0,13,16.844900030838815,11.287927627563477,48.25854301452637,261.94736842105266,0.0015079670894916056,0.0,14,15,15,16,40,47,48,48,48,48,48
MQTT,publish:1:sensor/zone-20250616210232-355/equip-20250616210232-355/UA10H-REAL-24200233/pressure,44,0,14,18.948354504325174,9.881973266601562,130.84650039672852,261.8863636363636,0.001746067156253438,0.0,14,14,15,16,21,28,130,130,130,130,130
MQTT,publish:1:sensor/zone-20250616210232-355/equip-20250616210232-355/UA10H-REAL-24200233/reactive_power,44,0,13,28.513751246712424,10.449886322021484,234.85922813415527,271.65909090909093,0.001746067156253438,0.0,14,14,15,17,51,120,230,230,230,230,230
MQTT,publish:1:sensor/zone-20250616210232-355/equip-20250616210232-355/UA10H-REAL-24200233/temp,49,0,13,18.38217462812151,10.138273239135742,120.79334259033203,259.2244897959184,0.001944483878554965,0.0,13,15,15,16,37,48,120,120,120,120,120
MQTT,publish:1:sensor/zone-20250616210232-355/equip-20250616210232-355/UA10H-REAL-24200233/vibration,49,0,14,20.093299904648138,10.030031204223633,103.95169258117676,261.8775510204082,0.001944483878554965,0.0,14,15,16,17,50,52,100,100,100,100,100
MQTT,publish:1:sensor/zone-20250616210233-510/equip-20250616210233-510/UA10H-REAL-24261273/active_power,51,0,14,18.303754282932655,10.460376739501953,108.28471183776855,269.3921568627451,0.002023850567475576,0.0,14,15,16,16,22,48,49,110,110,110,110
MQTT,publish:1:sensor/zone-20250616210233-510/equip-20250616210233-510/UA10H-REAL-24261273/humidity,52,0,14,24.158289799323448,10.698318481445312,271.98147773742676,261.9230769230769,0.002063533911935881,0.0,14,14,15,16,21,79,160,270,270,270,270
MQTT,publish:1:sensor/zone-20250616210233-510/equip-20250616210233-510/UA10H-REAL-24261273/pressure,50,0,14,24.180307388305664,10.73598861694336,222.2456932067871,261.86,0.0019841672230152705,0.0,14,15,16,17,42,110,220,220,220,220,220
MQTT,publish:1:sensor/zone-20250616210233-510/equip-20250616210233-510/UA10H-REAL-24261273/reactive_power,45,1,14,25.10950830247667,0,201.5206813812256,265.6666666666667,0.0017857505007137433,3.9683344460305405e-05,14,15,16,17,24,110,200,200,200,200,200
MQTT,publish:1:sensor/zone-20250616210233-510/equip-20250616210233-510/UA10H-REAL-24261273/temp,51,0,13,20.537974787693397,9.891748428344727,159.79599952697754,259.2156862745098,0.002023850567475576,0.0,13,14,15,15,43,60,94,160,160,160,160
MQTT,publish:1:sensor/zone-20250616210233-510/equip-20250616210233-510/UA10H-REAL-24261273/vibration,40,0,14,18.31716299057007,10.237932205200195,126.4643669128418,261.95,0.0015873337784122162,0.0,14,15,16,17,21,45,130,130,130,130,130
MQTT,publish:1:sensor/zone-20250616210234-739/equip-20250616210234-739/UA10H-REAL-24238044/active_power,42,0,13,19.293853214808873,10.269880294799805,180.25565147399902,269.3333333333333,0.001666700467332827,0.0,13,14,15,15,16,18,180,180,180,180,180
MQTT,publish:1:sensor/zone-20250616210234-739/equip-20250616210234-739/UA10H-REAL-24238044/humidity,30,0,14,16.77701473236084,11.003971099853516,50.70900917053223,261.9,0.001190500333809162,0.0,14,15,15,16,39,48,51,51,51,51,51
MQTT,publish:1:sensor/zone-20250616210234-739/equip-20250616210234-739/UA10H-REAL-24238044/pressure,39,0,13,17.72904396057129,9.851455688476562,126.48606300354004,261.7435897435897,0.0015476504339519109,0.0,13,14,15,15,17,47,130,130,130,130,130
