Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,connect,100,0,0,0.0,0,0,0.0,0.027782007476139098,0.0,0,0,0,0,0,0,0,0,0,0,0
MQTT,publish,100,100,0,0.0,0,0,0.0,0.027782007476139098,0.027782007476139098,0,0,0,0,0,0,0,0,0,0,0
MQTT,publish:1:sensor/zone-20250617111706-806/equip-20250617111706-806/UA10H-REAL-24462629/active_power,39,0,18,56.326731657370544,13.069629669189453,340.3787612915039,269.4871794871795,0.010834982915694248,0.0,18,44,84,90,150,180,340,340,340,340,340
MQTT,publish:1:sensor/zone-20250617111706-806/equip-20250617111706-806/UA10H-REAL-24462629/humidity,39,0,15,42.81846682230631,11.148691177368164,263.8111114501953,261.97435897435895,0.010834982915694248,0.0,15,20,46,72,130,170,260,260,260,260,260
MQTT,publish:1:sensor/zone-20250617111706-806/equip-20250617111706-806/UA10H-REAL-24462629/pressure,29,0,16,29.356783833997003,11.182546615600586,159.3496799468994,261.6551724137931,0.008056782168080338,0.0,16,17,18,21,110,130,160,160,160,160,160
MQTT,publish:1:sensor/zone-20250617111706-806/equip-20250617111706-806/UA10H-REAL-24462629/reactive_power,23,0,16,71.56400058580482,12.841463088989258,341.2129878997803,271.7826086956522,0.006389861719511993,0.0,16,35,150,190,210,220,340,340,340,340,340
MQTT,publish:1:sensor/zone-20250617111706-806/equip-20250617111706-806/UA10H-REAL-24462629/temp,40,0,16,51.92819833755493,11.279582977294922,353.8515567779541,259.075,0.011112802990455639,0.0,16,24,76,94,150,280,350,350,350,350,350
MQTT,publish:1:sensor/zone-20250617111706-806/equip-20250617111706-806/UA10H-REAL-24462629/vibration,40,0,16,39.578914642333984,11.243820190429688,439.6018981933594,262.0,0.011112802990455639,0.0,16,21,39,43,86,120,440,440,440,440,440
MQTT,publish:1:sensor/zone-20250617111707-441/equip-20250617111707-441/UA10H-REAL-24303597/active_power,31,0,19,117.05020166212513,11.439323425292969,1410.5949401855469,269.5483870967742,0.00861242231760312,0.0,19,43,66,79,170,960,1400,1400,1400,1400,1400
MQTT,publish:1:sensor/zone-20250617111707-441/equip-20250617111707-441/UA10H-REAL-24303597/humidity,31,0,15,32.980257464993386,10.938167572021484,108.67857933044434,261.83870967741933,0.00861242231760312,0.0,15,25,63,65,77,88,110,110,110,110,110
MQTT,publish:1:sensor/zone-20250617111707-441/equip-20250617111707-441/UA10H-REAL-24303597/pressure,31,0,20,59.7118946813768,9.882211685180664,310.2536201477051,261.80645161290323,0.00861242231760312,0.0,20,55,63,100,180,250,310,310,310,310,310
MQTT,publish:1:sensor/zone-20250617111707-441/equip-20250617111707-441/UA10H-REAL-24303597/reactive_power,33,0,16,37.238388350515656,10.30278205871582,183.41469764709473,271.8484848484849,0.009168062467125902,0.0,16,28,49,62,98,120,180,180,180,180,180
MQTT,publish:1:sensor/zone-20250617111707-441/equip-20250617111707-441/UA10H-REAL-24303597/temp,31,0,14,41.24417612629552,10.313749313354492,219.5885181427002,259.2903225806452,0.00861242231760312,0.0,14,30,56,65,110,140,220,220,220,220,220
MQTT,publish:1:sensor/zone-20250617111707-441/equip-20250617111707-441/UA10H-REAL-24303597/vibration,45,0,16,43.48886807759603,9.63139533996582,239.5782470703125,262.0888888888889,0.012501903364262594,0.0,16,33,60,72,120,150,240,240,240,240,240
MQTT,publish:1:sensor/zone-20250617111708-912/equip-20250617111708-912/UA10H-REAL-24095169/active_power,36,0,32,83.33005507787068,10.301589965820312,682.2452545166016,269.55555555555554,0.010001522691410076,0.0,35,53,120,120,270,310,680,680,680,680,680
MQTT,publish:1:sensor/zone-20250617111708-912/equip-20250617111708-912/UA10H-REAL-24095169/humidity,22,0,17,48.66676980798895,10.360956192016602,313.31467628479004,261.8636363636364,0.006112041644750601,0.0,17,21,56,60,140,180,310,310,310,310,310
MQTT,publish:1:sensor/zone-20250617111708-912/equip-20250617111708-912/UA10H-REAL-24095169/pressure,38,0,17,52.23872787074039,11.039972305297852,368.3807849884033,261.8421052631579,0.010557162840932856,0.0,17,29,59,63,160,280,370,370,370,370,370
MQTT,publish:1:sensor/zone-20250617111708-912/equip-20250617111708-912/UA10H-REAL-24095169/reactive_power,24,0,18,51.30661527315775,10.350227355957031,270.7035541534424,271.5416666666667,0.006667681794273383,0.0,22,34,69,72,140,180,270,270,270,270,270
MQTT,publish:1:sensor/zone-20250617111708-912/equip-20250617111708-912/UA10H-REAL-24095169/temp,44,0,17,49.95175383307717,10.121345520019531,378.66973876953125,259.25,0.012224083289501203,0.0,18,49,53,62,140,170,380,380,380,380,380
MQTT,publish:1:sensor/zone-20250617111708-912/equip-20250617111708-912/UA10H-REAL-24095169/vibration,30,0,37,70.51523526509602,12.046098709106445,225.26073455810547,262.03333333333336,0.00833460224284173,0.0,41,83,110,130,220,220,230,230,230,230,230
MQTT,publish:1:sensor/zone-20250617111709-869/equip-20250617111709-869/UA10H-REAL-24286731/active_power,32,0,24,63.6441707611084,11.78598403930664,343.5337543487549,269.21875,0.00889024239236451,0.0,34,66,89,130,190,190,340,340,340,340,340
MQTT,publish:1:sensor/zone-20250617111709-869/equip-20250617111709-869/UA10H-REAL-24286731/humidity,32,0,16,42.44997352361679,11.319160461425781,351.696252822876,261.96875,0.00889024239236451,0.0,16,18,32,38,78,180,350,350,350,350,350
MQTT,publish:1:sensor/zone-20250617111709-869/equip-20250617111709-869/UA10H-REAL-24286731/pressure,28,0,20,41.70317309243338,12.040376663208008,171.59795761108398,261.89285714285717,0.007778962093318947,0.0,20,35,65,68,110,110,170,170,170,170,170
MQTT,publish:1:sensor/zone-20250617111709-869/equip-20250617111709-869/UA10H-REAL-24286731/reactive_power,37,0,44,73.65851788907437,10.606765747070312,310.02163887023926,271.7027027027027,0.010279342766171465,0.0,44,67,100,110,220,270,310,310,310,310,310
MQTT,publish:1:sensor/zone-20250617111709-869/equip-20250617111709-869/UA10H-REAL-24286731/temp,37,0,21,44.0187389786179,11.91568374633789,163.72036933898926,259.27027027027026,0.010279342766171465,0.0,21,47,66,79,110,140,160,160,160,160,160
MQTT,publish:1:sensor/zone-20250617111709-869/equip-20250617111709-869/UA10H-REAL-24286731/vibration,38,0,25,71.77721199236419,12.545108795166016,559.5479011535645,262.0,0.010557162840932856,0.0,25,51,61,97,230,300,560,560,560,560,560
MQTT,publish:1:sensor/zone-20250617111710-630/equip-20250617111710-630/UA10H-REAL-24228646/active_power,37,0,16,58.98670248083166,11.904239654541016,259.2172622680664,269.56756756756755,0.010279342766171465,0.0,16,43,96,110,180,230,260,260,260,260,260
MQTT,publish:1:sensor/zone-20250617111710-630/equip-20250617111710-630/UA10H-REAL-24228646/humidity,25,0,17,37.48103141784668,11.598587036132812,230.43441772460938,261.96,0.0069455018690347745,0.0,17,24,40,65,94,97,230,230,230,230,230
MQTT,publish:1:sensor/zone-20250617111710-630/equip-20250617111710-630/UA10H-REAL-24228646/pressure,24,0,38,64.06826774279277,11.542558670043945,283.43725204467773,261.7083333333333,0.006667681794273383,0.0,40,74,110,110,140,150,280,280,280,280,280
MQTT,publish:1:sensor/zone-20250617111710-630/equip-20250617111710-630/UA10H-REAL-24228646/reactive_power,31,0,17,50.789048594813195,12.095928192138672,375.19192695617676,271.741935483871,0.00861242231760312,0.0,17,25,46,49,160,220,380,380,380,380,380
MQTT,publish:1:sensor/zone-20250617111710-630/equip-20250617111710-630/UA10H-REAL-24228646/temp,30,0,36,73.02956581115723,11.543989181518555,325.08230209350586,259.26666666666665,0.00833460224284173,0.0,43,56,95,120,210,310,330,330,330,330,330
MQTT,publish:1:sensor/zone-20250617111710-630/equip-20250617111710-630/UA10H-REAL-24228646/vibration,34,0,29,60.61669658212101,12.440681457519531,573.573112487793,262.1470588235294,0.009445882541887293,0.0,32,49,61,92,130,150,570,570,570,570,570
MQTT,publish:1:sensor/zone-20250617111711-864/equip-20250617111711-864/UA10H-REAL-24576114/active_power,39,0,26,64.86072907081017,10.742902755737305,354.86531257629395,269.46153846153845,0.010834982915694248,0.0,26,61,82,120,170,280,350,350,350,350,350
MQTT,publish:1:sensor/zone-20250617111711-864/equip-20250617111711-864/UA10H-REAL-24576114/humidity,38,0,18,45.88354888715242,9.665966033935547,230.6840419769287,261.89473684210526,0.010557162840932856,0.0,19,36,56,71,130,190,230,230,230,230,230
MQTT,publish:1:sensor/zone-20250617111711-864/equip-20250617111711-864/UA10H-REAL-24576114/pressure,41,0,14,33.93704135243485,10.571479797363281,162.68563270568848,261.8292682926829,0.01139062306521703,0.0,14,20,26,41,84,140,160,160,160,160,160
MQTT,publish:1:sensor/zone-20250617111711-864/equip-20250617111711-864/UA10H-REAL-24576114/reactive_power,26,0,14,50.6295607640193,10.395288467407227,340.6250476837158,271.7692307692308,0.007223321943796165,0.0,14,35,38,42,170,210,340,340,340,340,340
MQTT,publish:1:sensor/zone-20250617111711-864/equip-20250617111711-864/UA10H-REAL-24576114/temp,42,0,17,94.54986594972156,10.335683822631836,2101.6838550567627,259.3095238095238,0.01166844313997842,0.0,17,28,41,52,130,180,2100,2100,2100,2100,2100
MQTT,publish:1:sensor/zone-20250617111711-864/equip-20250617111711-864/UA10H-REAL-24576114/vibration,37,0,19,81.97819220053184,10.724306106567383,1443.782091140747,262.02702702702703,0.010279342766171465,0.0,19,44,56,73,170,200,1400,1400,1400,1400,1400
MQTT,publish:1:sensor/zone-20250617111712-850/equip-20250617111712-850/UA10H-REAL-24998607/active_power,33,0,18,40.9672043540261,9.901046752929688,225.1896858215332,269.6060606060606,0.009168062467125902,0.0,18,35,51,57,91,150,230,230,230,230,230
MQTT,publish:1:sensor/zone-20250617111712-850/equip-20250617111712-850/UA10H-REAL-24998607/humidity,34,0,20,51.59518999211929,11.781930923461914,177.0029067993164,261.8529411764706,0.009445882541887293,0.0,21,63,84,100,140,170,180,180,180,180,180
MQTT,publish:1:sensor/zone-20250617111712-850/equip-20250617111712-850/UA10H-REAL-24998607/pressure,37,0,16,80.44526383683488,10.457754135131836,1852.4055480957031,261.8378378378378,0.010279342766171465,0.0,16,22,32,48,88,200,1900,1900,1900,1900,1900
