Method,Name,Error,Occurrences
MQTT,publish:1:wearable/zone-20250617111824-579/UA10H-REAL-24114830/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone-20250617111756-397/equip-20250617111756-397/UA10H-REAL-24361588/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone-20250617111837-195/equip-20250617111837-195/UA10H-REAL-24542936/humidity,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111720-851/equip-20250617111720-851/UA10H-REAL-24174884/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111725-879/equip-20250617111725-879/UA10H-REAL-24293159/humid,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111721-538/UA10H-REAL-24174656/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111759-363/equip-20250617111759-363/UA10H-REAL-24784310/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111809-124/equip-20250617111809-124/UA10H-REAL-24437146/vibration,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111841-139/equip-20250617111841-139/UA10H-REAL-24760768/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone-20250617111731-277/equip-20250617111731-277/UA10H-REAL-24203959/humidity,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone-20250617111719-116/equip-20250617111719-116/UA10H-REAL-24869780/reactive_power,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111727-201/equip-20250617111727-201/UA10H-REAL-24007680/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone-20250617111826-834/equip-20250617111826-834/UA10H-REAL-24823670/vibration,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111752-725/equip-20250617111752-725/UA10H-REAL-24201745/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111753-425/UA10H-REAL-24874284/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111835-935/UA10H-REAL-24964798/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250617111740-985/UA10H-REAL-24207904/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111736-330/equip-20250617111736-330/UA10H-REAL-24884937/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250617111844-272/equip-20250617111844-272/UA10H-REAL-24257235/temp,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
